name,abrev
Portugal,POR
Castille,CAS
Aragon,ARG
Navarre,NAV
France,FRA
England,ENG
Scotland,SCO
Venice,VEN
Genoa,GEN
Papal States,PAP
Poland,POL
Hungary,HUN
Bohemia,BOH
Austria,AUT
Muscovy,MUS
Timurids,TIM
Mamluks,MAM
Ottomans,OTT
Ming,MIN
Oirats,OIR
Persia,PER
Ceylon,CEY
Malacca,MAL
Granada,GRN
Mali,MLI
Songhai,SNG
Dahomey,DMY
Kilwa,KIL
Brunei,BRU
Wales,WAL
Byzantium,BYZ
Holland,HOL
Denmark,DEN
Sweden,SWE
Norway,NOR
Gotland,GTL
Lithuania,LIT
Novgorod,NOV
Kyev,KYV
Tver,TVR
Mongolia,MGL
Korea,KOR
Kandy,KAN
Sindh,SIN
Vijayanagar,VIJ
Bahmanis,BAH
Tunis,TUN
Morooco,MOR
Algers,ALG
Tripoli,TRP
Naples,NAP
Milan,MIL
Savoy,SAV
Pisa,PIS
Florence,FLO
Siena,SIE
Ancona,ANC
Burgundy,BUR
Provence,PRO
Flanders,FLA
Liege,LIE
Brabant,BRA
Switzerland,SWI
